Entrez,Term
4324686,GO:0008152
4324687,GO:0006886
4324687,GO:0016192
4324690,GO:0055114
4327920,GO:0006457
4327922,GO:0006457
4327925,GO:0006457
4326337,GO:0006139
4326345,GO:0006468
4326348,GO:0006810
4326348,GO:0055085
4326350,GO:0006412
4326351,GO:0006355
4326311,GO:0006508
4326311,GO:0030163
4326312,GO:0006098
4326312,GO:0006573
4326312,GO:0055114
4324190,GO:0006506
4324191,GO:0005975
4324194,GO:0055114
4324196,GO:0016117
4324199,GO:0006457
4324201,GO:0006470
4327651,GO:0006355
4327660,GO:0015991
4327663,GO:0006468
4327663,GO:0048544
4327665,GO:0006820
4327665,GO:0044070
4327665,GO:0055085
4327667,GO:0006468
4324449,GO:0006334
4324449,GO:0006355
9267860,GO:0006508
4326374,GO:0006468
4326375,GO:0008152
4326375,GO:0055114
4326376,GO:0008152
4326376,GO:0055114
4326378,GO:0006139
4325960,GO:0008152
4325964,GO:0006508
4324593,GO:0015986
4324597,GO:0008152
4324599,GO:0009765
4324601,GO:0006468
4324604,GO:0055114
4324605,GO:0055114
4324606,GO:0006468
4324094,GO:0006355
4324218,GO:0006457
4324220,GO:0003333
4324220,GO:0006810
4324220,GO:0006865
4324220,GO:0055085
4327723,GO:0006468
4327731,GO:0015991
4325312,GO:0006184
4325312,GO:0006886
4325312,GO:0006913
4325312,GO:0007165
4325312,GO:0007264
4325312,GO:0015031
9268926,GO:0006306
4325323,GO:0006184
4325323,GO:0051258
4325326,GO:0006508
4326643,GO:0006897
4326644,GO:0006914
9269181,GO:0009611
4326646,GO:0009611
4326650,GO:0006468
4326653,GO:0006412
4326656,GO:0006221
4326610,GO:0015979
9269413,GO:0006470
4326617,GO:0006508
4326618,GO:0005975
4326625,GO:0008152
4326630,GO:0006468
4326638,GO:0006468
4326677,GO:0055085
4326679,GO:0005975
4326683,GO:0006355
4326684,GO:0007018
4326685,GO:0006355
4326687,GO:0006886
4326687,GO:0016192
4326689,GO:0006886
4326690,GO:0006355
4326694,GO:0055114
4326657,GO:0055114
4326659,GO:0055114
4326660,GO:0055114
4326661,GO:0055114
4326663,GO:0055114
4326664,GO:0055114
