Child,Ancestor
GO:0016117,GO:0046148
GO:0034655,GO:0019439
GO:0033043,GO:0051128
GO:0006351,GO:0097659
GO:0043254,GO:0044087
GO:0015980,GO:0006091
GO:0034613,GO:0070727
GO:0009150,GO:0006163
GO:0000271,GO:0005976
GO:0006605,GO:0006886
GO:0000105,GO:1901607
GO:0034470,GO:0006396
GO:0065003,GO:0022607
GO:0009142,GO:0009141
GO:0006163,GO:0009117
GO:0006506,GO:0006505
GO:0044283,GO:0009058
GO:0006071,GO:0019400
GO:0019438,GO:0006725
GO:0034470,GO:0034660
GO:0006913,GO:0051169
GO:0034637,GO:0044249
GO:0055086,GO:0006139
GO:0042559,GO:0019438
GO:0071805,GO:0006813
GO:0055085,GO:0009987
GO:0031327,GO:0031324
GO:0046486,GO:0044255
GO:0031327,GO:0031326
GO:0042218,GO:0018871
GO:0048278,GO:0140056
GO:0098656,GO:0006820
GO:0006779,GO:0033014
GO:0046165,GO:0006066
GO:0046903,GO:0006810
GO:0061458,GO:0048731
GO:0006096,GO:0016052
GO:0008654,GO:0006644
GO:0009199,GO:0009141
GO:0009110,GO:0044283
GO:1901293,GO:0090407
GO:0009690,GO:0046483
GO:0034655,GO:0006139
GO:0018130,GO:0044249
GO:0044281,GO:0008152
GO:0006265,GO:0071103
GO:0043543,GO:0006464
GO:0065007,GO:0008150
GO:0048831,GO:2000026
GO:0016042,GO:0006629
GO:0006694,GO:1901362
GO:0070085,GO:0008152
GO:0019220,GO:0051174
GO:0009059,GO:1901576
GO:0006612,GO:0090150
GO:0046112,GO:0009112
GO:0016125,GO:1901615
GO:0009206,GO:0009201
GO:0006188,GO:0046040
GO:0051246,GO:0060255
GO:0097435,GO:0016043
GO:0006614,GO:0006613
GO:0072527,GO:0034641
GO:0009206,GO:0009205
GO:0032506,GO:0000910
GO:0042180,GO:0044281
GO:0006165,GO:0009132
GO:0006367,GO:0006352
GO:0140352,GO:0006810
GO:0006869,GO:0010876
GO:0008154,GO:0007015
GO:0043604,GO:0044271
GO:0051172,GO:0051171
GO:0071840,GO:0009987
GO:0006643,GO:0044255
GO:0006401,GO:0044265
GO:0046351,GO:0034637
GO:0035556,GO:0007165
GO:0035384,GO:1901576
GO:0065008,GO:0065007
GO:0009247,GO:0006664
GO:0009152,GO:0009260
GO:0046417,GO:0043648
GO:0042559,GO:0018130
GO:0046394,GO:0019752
GO:0018904,GO:0071704
GO:0008104,GO:0033036
GO:0045017,GO:0046486
GO:0007018,GO:0007017
GO:0008610,GO:0006629
GO:0033365,GO:0034613
GO:0005991,GO:0005984
GO:0010228,GO:0009791
GO:0018130,GO:0046483
GO:0042158,GO:0034645
GO:0000271,GO:0009059
GO:0051641,GO:0009987
GO:0042256,GO:0042255
GO:0033036,GO:0051179
GO:0015031,GO:0045184
GO:0006486,GO:0006464
GO:0090567,GO:0048608
GO:0071705,GO:0006810
GO:0006547,GO:0009072
GO:0009067,GO:1901607
GO:0000097,GO:0044272
GO:0000079,GO:0071900
GO:0006499,GO:0006498
GO:0033014,GO:0018130
GO:0045333,GO:0015980
GO:0051246,GO:0080090
GO:0046942,GO:0015849
GO:0016773,GO:0016772
GO:0034613,GO:0008104
GO:0010605,GO:0060255
GO:0042254,GO:0022613
GO:0009067,GO:0009066
GO:0044706,GO:0032501
GO:0005978,GO:0009250
GO:0006400,GO:0008033
GO:0006729,GO:0042559
GO:0044237,GO:0008152
GO:0006165,GO:0009117
GO:0051649,GO:0051641
GO:0006030,GO:0006022
GO:0032535,GO:0090066
GO:0033692,GO:0044264
GO:0043414,GO:0043412
GO:0098656,GO:0034220
GO:0051301,GO:0009987
GO:0006855,GO:0055085
GO:0090150,GO:0072657
GO:0044267,GO:0019538
GO:0006855,GO:0015893
GO:0006364,GO:0042254
GO:0015743,GO:0015740
GO:0006740,GO:0006091
GO:0009229,GO:0090407
GO:0032774,GO:0009059
GO:0005977,GO:0006073
GO:0046390,GO:0090407
GO:0019693,GO:1901135
GO:0005737,GO:0110165
GO:0009057,GO:1901575
GO:0005622,GO:0005575
GO:1901576,GO:0009058
GO:0009415,GO:0010035
GO:1901271,GO:1901269
GO:0044265,GO:0009057
GO:0140029,GO:0009987
GO:0006974,GO:0033554
GO:0006220,GO:0072527
GO:0006887,GO:0016192
GO:0006825,GO:0000041
GO:0015937,GO:0015936
GO:0006796,GO:0006793
GO:0042180,GO:0044237
GO:0048608,GO:0048856
GO:0006757,GO:0006091
GO:0010876,GO:0033036
GO:0016569,GO:0043412
GO:0006573,GO:0009081
GO:0009150,GO:0009259
GO:0006108,GO:0043648
GO:0009312,GO:0016051
GO:0022414,GO:0008150
GO:0006857,GO:0015833
GO:0006364,GO:0034470
GO:0033014,GO:0044271
GO:0032501,GO:0008150
GO:1901135,GO:0071704
GO:0006464,GO:0036211
GO:0052803,GO:0006725
GO:0080090,GO:0019222
GO:0051172,GO:0009892
GO:0046112,GO:1901566
GO:0007015,GO:0030036
GO:0006659,GO:0042398
GO:0009312,GO:0009311
GO:0043413,GO:0070085
GO:0051704,GO:0008150
GO:0006520,GO:0019752
GO:0042181,GO:0042180
GO:0009259,GO:0019693
GO:0051338,GO:0050790
GO:0034032,GO:0072521
GO:2000028,GO:0048580
GO:0051274,GO:0009250
GO:0070925,GO:0022607
GO:2000028,GO:0048583
GO:0042157,GO:0019538
GO:0072528,GO:1901566
GO:0006304,GO:0006259
